,fold,mag,grp,path,label,label_int,filename
62,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-001.png,benign,0,SOB_B_A-14-22549AB-40-001.png
63,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-002.png,benign,0,SOB_B_A-14-22549AB-40-002.png
64,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-003.png,benign,0,SOB_B_A-14-22549AB-40-003.png
65,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-004.png,benign,0,SOB_B_A-14-22549AB-40-004.png
66,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-005.png,benign,0,SOB_B_A-14-22549AB-40-005.png
67,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-006.png,benign,0,SOB_B_A-14-22549AB-40-006.png
68,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-007.png,benign,0,SOB_B_A-14-22549AB-40-007.png
69,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-008.png,benign,0,SOB_B_A-14-22549AB-40-008.png
70,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-009.png,benign,0,SOB_B_A-14-22549AB-40-009.png
71,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-010.png,benign,0,SOB_B_A-14-22549AB-40-010.png
72,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-011.png,benign,0,SOB_B_A-14-22549AB-40-011.png
73,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-012.png,benign,0,SOB_B_A-14-22549AB-40-012.png
74,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-013.png,benign,0,SOB_B_A-14-22549AB-40-013.png
75,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-014.png,benign,0,SOB_B_A-14-22549AB-40-014.png
76,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-015.png,benign,0,SOB_B_A-14-22549AB-40-015.png
77,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-016.png,benign,0,SOB_B_A-14-22549AB-40-016.png
78,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-017.png,benign,0,SOB_B_A-14-22549AB-40-017.png
79,1,40,train,BreaKHis_v2/histology_slides/breast/benign/SOB/adenosis/SOB_B_A_14-22549AB/40X/SOB_B_A-14-22549AB-40-018.png,benign,0,SOB_B_A-14-22549AB-40-018.png
